"filename", "language", "YAML", "Python", "Ignore", "Markdown", "Docker", "pip requirements", "JavaScript", "XML", "CSS", "JavaScript JSX", "JSON", "HTML", "comment", "blank", "total"
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/bubbles.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/chevron.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/chevron_left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/clean_tile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/coins.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/fonts/stylesheet.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 19, 217
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/fork.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/home_nav.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/liked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/mdi_calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/msg_nav.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/nei.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/paw.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/pc_mock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/pets_tile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
